geometry,STATE,ID,NAME
POINT (-117.0338188 32.6599227),CA,11642150,RITE AID - 5613
POINT (-117.0638786 32.6753118),CA,11674012,PARADISE HILLS PHARMACY
POINT (-147.6891805 64.8564372),AK,11660401,WAL-MART SUPERCENTER - 2722
POINT (-117.0232346 32.6213208),CA,11698995,VETERANS HOME OF CALIFORNIA CHULA VISTA
POINT (-151.5504692 59.6525901),AK,11680413,SOUTH PENINSULA HOSPITAL PHARMACY
POINT (-149.8717655 61.2090087),AK,11655269,CARRS/SAFEWAY
POINT (-131.6474336 55.3421342),AK,11698767,DOWNTOWN DRUGSTORE
POINT (-147.7135219 64.8391255),AK,11673666,PROFESSIONAL PHARMACY
POINT (-147.7431768 64.8300129),AK,11647986,PRESCRIPTION CENTER
POINT (-152.3757358 57.8009368),AK,11646626,PROVIDENCE KODIAK ISLAND MEDICAL CENTER
POINT (-149.8602211 61.2128935),AK,11671083,ANCHORAGE NEIGHBORHOOD HEALTH CENTER PHARMACY
POINT (-149.8971951 61.1837707),AK,11664761,ANCHORAGE MEDSET PHARMACY
POINT (-149.8795236 61.1923919),AK,11663274,WAL-MART - 2070
POINT (-149.555477 61.3413089),AK,11653240,FRED MEYER
POINT (-149.5729183 61.3230966),AK,11673749,FAMILY PHARMACY
POINT (-149.9006536 61.2119514),AK,11695666,ANCHORAGE PIONEER HOME PHARMACY
POINT (-149.3577408 61.5891594),AK,11688858,GENEVA WOODS MAT-SU PHARMACY
POINT (-149.4071891 61.5774591),AK,11710006,WALGREENS - 12681
POINT (-149.1207789 61.6008043),AK,11653241,FRED MEYER
POINT (-147.7068207 64.8531108),AK,11660400,SAM'S CLUB - 6603
POINT (-149.8168315 61.1881529),AK,11645427,PROVIDENCE MEDICAL ARTS PHARMACY
POINT (-149.8293054 61.2102505),AK,11648547,IVY HOME INFUSIONS LIMITED LIABILITY COMPANY
POINT (-117.0429632 32.6578083),CA,11697680,KAISER PERMANENTE BONITA MEDICAL OFFICES
POINT (-117.0729392 32.6212719),CA,11652544,CVS - 9632
POINT (-117.0942724 32.6518923),CA,11661486,WAL-MART - 2291
POINT (-117.0830488 32.6067512),CA,11660890,WAL-MART - 5305
POINT (-117.0808127 32.6605865),CA,11652617,CVS - 9783
POINT (-151.0487487 60.4894368),AK,11653236,FRED MEYER
POINT (-149.8000823 61.1815359),AK,11703778,SOUTHCENTRAL FOUNDATION
POINT (-149.8004418 61.1829098),AK,11643597,ALASKA NATIVE MEDICAL CENTER PHARMACY
POINT (-149.8752842 61.1943186),AK,11655271,CARRS/SAFEWAY
POINT (-149.8690886 61.1885631),AK,11673447,HEWITTS DRUG STORE
POINT (-116.9687399 32.6609879),CA,11702602,ALBERTSONS-SAVON - 6759
POINT (-117.0257616 32.6158011),CA,11651526,CVS - 9113
POINT (-134.5615944 58.3594766),AK,11666477,FRED MEYER
POINT (-134.5138686 58.3583615),AK,11704321,WAL-MART - 3814
POINT (-149.4363439 61.5826451),AK,11655276,CARRS/SAFEWAY
POINT (-117.0336821 32.5849982),CA,11643431,KAISER PERMANENTE OTAY MESA OUTPATIENT MEDICAL CENTER
POINT (-134.4670691 58.3312829),AK,11643552,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM - JUNEAU MEDICAL CENTER PHARMACY
POINT (-117.0391944 32.6769961),CA,11699763,THE MEDICINE SHOPPE PHARMACY
POINT (-145.5407159 62.1088295),AK,11691717,CROSS ROAD MEDICAL CENTER
POINT (-117.0828428 32.6349096),CA,11673630,COMMUNITY MEDICAL PHARMACY
POINT (-134.4070325 58.3007418),AK,11695112,JUNEAU DRUG COMPANY
POINT (-165.4062333 64.5022098),AK,11643632,NORTON SOUND HEALTH CORPORATION
POINT (-135.3549865 57.0518781),AK,11643553,MOUNT EDGECUMBE HOSPITAL PHARMACY
POINT (-117.047432 32.5587018),CA,11692522,SAN YSIDRO HEALTH CENTER
POINT (-117.0829179 32.6092237),CA,11644180,TRICARE OUTPATIENT CLINIC CHULA VISTA
POINT (-149.9192146 61.1360135),AK,11653644,FRED MEYER
POINT (-117.1157703 32.5833946),CA,11673596,SOUTH BAY DRUGS
POINT (-149.4425514 60.1012124),AK,11643713,NORTH STAR HEALTH CLINIC PHARMACY
POINT (-152.3676358 57.8107504),AK,11655279,SAFEWAY
POINT (-132.9539026 56.8129206),AK,11702141,PETERSBURG REXALL DRUG
POINT (-149.8353828 61.1813286),AK,11653125,GREAT LAND INFUSION PHARMACY
POINT (-149.8373658 61.185704),AK,11688784,GENEVA WOODS PHARMACY
POINT (-149.829487 61.1851134),AK,11700621,ALASKA PSYCHIATRIC INSTITUTE PHARMACY
POINT (-149.8206964 61.2168218),AK,11652222,GENEVA WOODS PROFESSIONAL INFUSION PHARMACY
POINT (-147.8082487 64.8356698),AK,11655287,SAFEWAY
POINT (-131.684881 55.3526707),AK,11643707,KETCHIKAN INDIAN COMMUNITY HEALTH CLINIC
POINT (-151.0731328 60.4945551),AK,11679928,SOLDOTNA PROFESSIONAL PHARMACY
POINT (-151.2407942 60.5602337),AK,11655274,SAFEWAY
POINT (-149.4365714 60.1262146),AK,11664013,SAFEWAY
POINT (-149.4265254 61.5864035),AK,11706388,MYDOKTORS PHARMACY
POINT (-149.2596227 61.5629727),AK,11663830,MAT-SU REGIONAL MEDICAL CENTER CLINICAL PHARMACY
POINT (-149.2450182 61.6002867),AK,11703427,THREE BEARS MAT-SU - 60
POINT (-149.5731138 61.3248212),AK,11655275,CARRS/SAFEWAY
POINT (-149.884457 61.1430751),AK,11679034,COSTCO
POINT (-149.8699363 61.1401661),AK,11663272,WAL-MART - 2071
POINT (-151.2250599 60.5642893),AK,11711914,WAL-MART - 4474
POINT (-117.0371561 32.6594774),CA,11685911,BONITA PHARMACY INCORPORATED
POINT (-117.0662439 32.6039596),CA,11653509,CVS - 9196
POINT (-116.9664054 32.6457502),CA,11653937,VONS
POINT (-117.0940017 32.5780001),CA,11677802,RITE AID - 5668
POINT (-117.0646793 32.6055967),CA,11674028,RITE AID - 5616
POINT (-117.0355179 32.5815247),CA,11661209,WAL-MART - 2150
POINT (-147.7007224 64.8516716),AK,11655283,SAFEWAY
POINT (-149.40559 61.5894016),AK,11646314,SUSITNA PROFESSIONAL PHARMACY
POINT (-149.8537105 61.1093015),AK,11655278,CARRS/SAFEWAY
POINT (-149.8439307 61.1422563),AK,11655272,CARRS/SAFEWAY
POINT (-149.8768637 61.1764193),AK,11701714,PROVIDENCE EXTENDED CARE CENTER
POINT (-116.3670935 32.6574292),CA,11643563,SOUTHERN INDIAN HEALTH COUNCIL INCORPORATED - CAMPO CLINIC
POINT (-117.0240232 32.6179613),CA,11673833,COMMUNITY MEDICAL PHARMACY
POINT (-131.7204087 55.375613),AK,11660398,WAL-MART - 2710
POINT (-117.0765535 32.6337633),CA,11649669,SHARP REES-STEALY CHULA VISTA
POINT (-134.4823783 58.3592296),AK,11711066,COSTCO
POINT (-149.7957092 61.182972),AK,11643599,SOUTHCENTRAL FOUNDATION HOME BASED SERVICES
POINT (-117.0873296 32.6499895),CA,11653567,CVS - 8859
POINT (-134.5882532 58.3714291),AK,11675205,RONS APOTHECARY SHOPPE
POINT (-134.5890647 58.3714528),AK,11644696,ALASKA INFUSION THERAPY
POINT (-149.4464951 60.105157),AK,11705143,PROVIDENCE SEWARD MEDICAL CENTER DRUG ROOM
POINT (-135.4448479 59.2339762),AK,11643693,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM - HAINES HEALTH CENTER
POINT (-147.7404304 64.8314442),AK,11675572,FAIRBANKS MEMORIAL HOSPITAL PHARMACY
POINT (-147.6295368 64.821613),AK,11644443,BASSETT ARMY COMMUNITY HOSPITAL - KAMISH CLINIC-DOD
POINT (-147.738791 64.8312052),AK,11642849,CHIEF ANDREW ISAAC HEALTH CENTER PHARMACY
POINT (-149.6856035 61.2597656),AK,11644583,FORT RICHARDSON TROOP MEDICAL CLINIC-DOD
POINT (-162.5864522 66.8959804),AK,11704045,MANIILAQ HEALTH CENTER
POINT (-117.1629733 32.6734246),CA,11644361,NAVAL AMPHIBIOUS BASE CORONADO - BRANCH MEDICAL CLINIC-DOD
POINT (-156.7789468 71.2930418),AK,11644769,SAMUEL SIMMONDS MEMORIAL HOSPITAL
POINT (-149.7369235 61.2115518),AK,11654164,FRED MEYER
POINT (-147.3539646 64.7539593),AK,11645832,NORTH POLE PRESCRIPTION LABORATORY
POINT (-151.5232665 59.6466726),AK,11674558,ULMERS DRUG AND HARDWARE
POINT (-151.0645272 60.4848376),AK,11655709,PROFESSIONAL HOME IV INCORPORATED
POINT (-149.3650972 61.568932),AK,11663273,WAL-MART SUPERCENTER - 2074
POINT (-149.4091426 61.5795226),AK,11653238,FRED MEYER
POINT (-149.404484 61.5772664),AK,11708154,TARGET
POINT (-149.8235348 61.2166116),AK,11655285,CARRS/SAFEWAY
POINT (-149.7765228 61.2082081),AK,11655273,CARRS/SAFEWAY
POINT (-149.8036746 61.2112422),AK,11679155,COSTCO
POINT (-117.0502123 32.6385734),CA,11652262,CVS - 9240
POINT (-117.0219434 32.6377734),CA,11679163,COSTCO
POINT (-117.0839214 32.6085604),CA,11678677,COSTCO
POINT (-116.9676343 32.6457637),CA,11671542,RITE AID - 5617
POINT (-117.1156761 32.5843717),CA,11652772,CVS - 9120
POINT (-117.0251001 32.615924),CA,11659342,RALPHS
POINT (-117.0758371 32.6264777),CA,11649286,ALBERTSONS-SAVON - 6757
POINT (-117.0817597 32.6773833),CA,11646344,PLAZA PHARMACY
POINT (-117.0368667 32.5496069),CA,11652241,CVS - 9820
POINT (-117.0606884 32.5848224),CA,11652743,CVS - 9524
POINT (-147.8173909 64.835326),AK,11654163,FRED MEYER
POINT (-131.673573 55.3484017),AK,11655280,SAFEWAY
POINT (-147.6903755 64.8547289),AK,11653237,FRED MEYER
POINT (-158.5353719 59.0001068),AK,11701991,BRISTOL BAY AREA HEALTH CORPORATION
POINT (-149.1244076 61.6006585),AK,11664160,CARRS/SAFEWAY
POINT (-149.7448478 61.2352704),AK,11644446,ELMENDORF AIR FORCE BASE 3RD MEDICAL GROUP PHARMACY-DOD
POINT (-149.8648334 61.1676772),AK,11644650,FRONTIER MEDICAL PHARMACY
POINT (-147.0833241 64.6737475),AK,11644445,EIELSON AIR FORCE BASE CLINIC - 354TH MEDICAL GROUP-DOD
POINT (-152.3655635 57.8118921),AK,11663275,WAL-MART - 2711
POINT (-147.6620875 64.8297123),AK,11644087,BASSETT ARMY COMMUNITY HOSPITAL-DOD
POINT (-134.4202089 58.3015521),AK,11644157,UNITED STATES COAST GUARD JUNEAU
POINT (-149.8928392 61.1746365),AK,11689950,GENEVA WOODS MEDSET PHARMACY
POINT (144.813903 13.5195933),GU,11699536,COMMUNITY PHARMACY II
POINT (144.8202281 13.5056856),GU,11700546,PACIFIC HEALTHCARE PHARMACY
POINT (144.8168375 13.5176413),GU,11694248,HARMON DRUGS
POINT (144.7955363 13.4943392),GU,11701511,COMMUNITY PHARMACY
POINT (144.8355729 13.5138564),GU,11711282,MEDPHARM
POINT (144.7847583 13.4873234),GU,11673790,FHP PHARMACY
POINT (144.8348609 13.5137022),GU,11699262,MEGA DRUG II
POINT (144.9004233 13.5649596),GU,11644469,ANDERSEN AIR FORCE BASE PHARMACY-DOD
POINT (144.7828242 13.4864472),GU,11646263,GUAM REXALL DRUGS
POINT (144.7822155 13.4941822),GU,11696345,ITC PHARMACY II
POINT (144.7806106 13.4985352),GU,11703305,FARMACIA DE MARIANAS
POINT (144.7767556 13.4981334),GU,11699261,MEGA DRUG
POINT (144.7554019 13.2833988),GU,11694075,SOUTHERN REGION COMMUNITY HEALTH CENTER
POINT (144.7559225 13.4706916),GU,11651664,AGANA SUPERDRUG
POINT (144.664514 13.40031),GU,11702623,SAGAN AMOT PHARMACY
POINT (144.7381145 13.4747127),GU,11644372,UNITED STATES NAVAL HOSPITAL GUAM
POINT (144.7895196 13.4986783),GU,11694948,GUAM SEVENTH-DAY ADVENTIST CLINIC
POINT (144.7999234 13.5000802),GU,11656456,KMART
POINT (144.7775328 13.4981845),GU,11699263,OKA PHARMACY
POINT (144.8272668 13.5203812),GU,11699600,COMMUNITY PHARMACY III
POINT (144.7786788 13.4975316),GU,11647047,ISLA HOME INFUSION
POINT (-149.7397543 61.2094341),AK,11710299,WALGREENS - 12679
POINT (-149.8853054 61.1300921),AK,11710816,TARGET
POINT (-133.0946286 55.5468727),AK,11643555,ALICIA ROBERTS MEDICAL CENTER
POINT (-149.734115 61.2295181),AK,11708136,TARGET
POINT (-132.3824337 56.4715881),AK,11711643,ALASKA ISLAND COMMUNITY SERVICES PHARMACY
POINT (-135.3697464 57.0546054),AK,11644156,COAST GUARD AIR STATION SITKA
POINT (-145.7479289 63.9723818),AK,11644639,FORT GREELY PHARMACY
POINT (-131.6258554 55.3336386),AK,11644448,UNITED STATES COAST GUARD INTEGRATED SUPPORT COMMAND KETCHIKAN HEALTH CLINIC
POINT (-149.9211037 61.1378689),AK,11710250,WALGREENS - 12680
POINT (-170.6857074 -14.2903125),AS,11712257,LYNDON B JOHNSON TROPICAL MEDICAL CENTER PHARMACY
POINT (-155.9990383 19.6528991),HI,11656465,KMART
POINT (-155.9909081 19.6462098),HI,11662178,WAL-MART - 2321
POINT (-157.8429682 21.2947533),HI,11662184,SAM'S CLUB - 4755
POINT (-157.7401094 21.3939372),HI,11686068,TIMES SUPERMARKET
POINT (-156.3423517 20.8373478),HI,11696894,FOODLAND PUKALANI
POINT (-158.0923178 21.3319125),HI,11709097,TARGET
POINT (-157.7394847 21.3911483),HI,11700469,DON QUIJOTE
POINT (-157.859008 21.310668),HI,11695510,CENTURY SQUARE PHARMACY
POINT (-156.4484629 20.7528161),HI,11654085,SAFEWAY
POINT (-156.9171793 20.8258631),HI,11710630,LANAI COMMUNITY HOSPITAL
POINT (-156.463163 20.8885033),HI,11654084,SAFEWAY
POINT (-156.4549732 20.8784017),HI,11662182,WAL-MART - 3290
POINT (-156.451256 20.8856661),HI,11656466,KMART
POINT (-156.3572686 20.7013293),HI,11642685,KULA HOSPITAL
POINT (-156.4543294 20.7485448),HI,11702394,LONGS DRUGS - 4492
POINT (-156.5004685 20.8885126),HI,11658933,PHARMACY CORPORATION OF AMERICA
POINT (-157.8894317 21.3602316),HI,11644075,TRIPLER ARMY MEDICAL CENTER-DOD
POINT (-156.6795032 20.8791851),HI,11700063,KAISER PERMANENTE LAHAINA CLINIC
POINT (-157.8020363 21.420722),HI,11652008,LONGS DRUGS - 9671
POINT (-158.0064832 21.4530953),HI,11652194,LONGS DRUGS - 9890
POINT (-156.6842417 20.8862387),HI,11652011,LONGS DRUGS - 9877
POINT (-157.7406327 21.3901753),HI,11700083,KAISER PERMANENTE KAILUA CLINIC
POINT (-157.9969725 21.4255481),HI,11700064,KAISER PERMANENTE WAIPIO CLINIC
POINT (-157.7129207 21.282633),HI,11703004,KAISER PERMANENTE HAWAII KAI CLINIC
POINT (-158.149332 21.3862988),HI,11700135,KAISER PERMANENTE NANAIKEOLA CLINIC
POINT (-158.0779618 21.3399177),HI,11652197,CVS DOING BUSINESS AS LONGS DRUGS - 9317
POINT (-158.005996 21.3849435),HI,11646255,WAIPAHU DRUG
POINT (-156.4535872 20.8866174),HI,11711544,EASY CLINIC LAB AND RX SHOP
POINT (-155.0983344 19.7168278),HI,11707380,LONGS DRUGS - 1904
POINT (-159.4072262 22.2107434),HI,11651312,NORTH SHORE PHARMACY
POINT (-158.1038218 21.5881391),HI,11707376,CVS DOING BUSINESS AS LONGS DRUGS - 3070
POINT (-157.8529104 21.3080893),HI,11645431,THE QUEEN'S MEDICAL CENTER PHARMACY
POINT (-157.8615266 21.3141118),HI,11697013,WELLNESS PHARMACY
POINT (-159.3676681 21.982835),HI,11657391,LIFEWAY HEALTH MART PHARMACY
POINT (-157.8626491 21.3017381),HI,11642990,CVS PHARMACARE/CVS CAREMARK
POINT (-157.8337147 21.3003296),HI,11647444,PHARMACARE
POINT (-157.9531448 21.3884556),HI,11676209,NEWTOWN SQUARE PHARMACY
POINT (-157.8706282 21.3167813),HI,11700004,KAISER PERMANENTE REFILL CENTER PHARMACY
POINT (-155.0756642 19.7106017),HI,11707031,MINA PHARMACY
POINT (-159.4660592 21.9036858),HI,11700498,SOUTHSHORE PHARMACY
POINT (-157.9391414 21.382166),HI,11647796,MEDICAL CENTER PHARMACY
POINT (-157.850625 21.3027069),HI,11704234,STRAUB CLINIC AND HOSPITAL
POINT (-158.0269267 21.3722571),HI,11647044,PHARMACARE
POINT (-158.0148657 21.458174),HI,11704331,TIMES SUPERMARKET
POINT (-158.0340859 21.3897999),HI,11687819,TIMES SUPERMARKET
POINT (-157.7886206 21.2779418),HI,11686107,TIMES SUPERMARKET
POINT (-157.8413454 21.3015721),HI,11686083,TIMES SUPERMARKET
POINT (-155.0661747 19.6900863),HI,11696531,WINDWARD PHARMACY
POINT (-157.7442184 21.3959352),HI,11709267,WALGREENS - 12466
POINT (-155.061842 19.6958701),HI,11652010,LONGS DRUGS - 9227
POINT (-155.6668698 20.0205791),HI,11698955,FOODLAND HEALTH MART PHARMACY - 38
POINT (-155.0670562 19.6936085),HI,11708554,KTA
POINT (-155.040777 19.6223781),HI,11703671,LONGS DRUGS - 6870
POINT (-157.8711756 21.3186186),HI,11679130,COSTCO
POINT (-156.0163673 19.6849903),HI,11678693,COSTCO
POINT (-155.0619253 19.700143),HI,11662179,WAL-MART - 2473
POINT (-158.0856217 21.332149),HI,11656468,KMART
POINT (-157.8259412 21.4363889),HI,11687820,TIMES SUPERMARKET
POINT (-155.799987 20.2308694),HI,11699273,KAMEHAMEHA PHARMACY
POINT (-157.739691 21.3905698),HI,11653807,SAFEWAY
POINT (-155.0858556 19.7165515),HI,11647861,ULULANI PHARMACY
POINT (-157.8386687 21.2936602),HI,11701125,DON QUIJOTE
POINT (-158.0224708 21.3795734),HI,11698957,DON QUIJOTE
POINT (-157.8789388 21.3278295),HI,11675889,APOS FARMACIA
POINT (-156.5016702 20.8870549),HI,11708822,WALGREENS - 12764
POINT (-156.3302808 20.8226116),HI,11709075,LONGS DRUGS - 3059
POINT (-156.4870715 20.8873608),HI,11700137,KAISER PERMANENTE WAILUKU CLINIC
POINT (-157.860779 21.3093745),HI,11652659,LONGS DRUGS - 9182
POINT (-158.0246874 21.3780774),HI,11652195,LONGS DRUGS - 9259
POINT (-155.0809027 19.7190242),HI,11652658,LONGS DRUGS - 9620
POINT (-158.1841985 21.4359053),HI,11642788,LONGS DRUGS - 9956
POINT (-157.9295992 21.3787513),HI,11686105,TIMES SUPERMARKET
POINT (-156.3114357 20.8526965),HI,11711466,MAKAWAO TOWN PHARMACY
POINT (-155.961806 19.5699003),HI,11691304,KTA
POINT (-155.9934171 19.6434559),HI,11652193,LONGS DRUGS - 9249
POINT (-155.0966719 19.7142574),HI,11707379,LONGS DRUGS - 2362
POINT (-157.8252478 21.2790214),HI,11699312,PRINCE KUHIO PHARMACY
POINT (-157.8383677 21.2974226),HI,11708655,CVS DOING BUSINESS AS LONGS DRUGS - 6889
POINT (-157.8585863 21.3230987),HI,11674687,PHARMACY ONE
POINT (-157.852103 21.3076697),HI,11645448,THE QUEEN'S MEDICAL CENTER PHARMACY
POINT (-157.8543614 21.3067038),HI,11695678,THE QUEEN'S MEDICAL CENTER PHARMACY
POINT (-159.6703835 21.9606743),HI,11689551,LIFEWAY HEALTH MART PHARMACY
POINT (-159.5856072 21.9046493),HI,11704452,LONGS DRUGS - 7669
POINT (-155.9173626 19.5201544),HI,11699543,KONA COMMUNITY HOSPITAL PHARMACY
POINT (-158.1870814 21.4442699),HI,11698644,WAIANAE DRUG
POINT (-154.9577375 19.5047941),HI,11692635,PUNA PHARMACY
POINT (-157.8569846 21.3219808),HI,11645684,KUAKINI HEALTH SYSTEM
POINT (-157.8152499 21.2981932),HI,11651169,UNIVERSITY HEALTH SERVICES MANOA PHARMACY
POINT (-157.9224838 21.6471023),HI,11706728,FOODLAND
POINT (-157.8545243 21.3213634),HI,11684409,REHABILITATION HOSPITAL OF THE PACIFIC
POINT (-157.9179197 21.3356159),HI,11657635,PHARMERICA
POINT (-157.8894978 21.3613203),HI,11643772,PACIFIC ISLANDS VETERANS AFFAIRS HEALTHCARE SYSTEM-DOD
POINT (-157.7611476 21.4448265),HI,11644240,MARINE CORPS BASE HAWAII - KANEOHE BAY BRANCH HEALTH CLINIC PHARMACY-DOD
POINT (-158.0023254 21.5152807),HI,11644635,NAVAL COMPUTER AND TELECOMMUNICATIONS AREA MASTER STATION PACIFIC - WAHIAWA BRANCH HEALTH CLINIC-DOD
POINT (-157.8147223 21.2837983),HI,11705327,SAFEWAY
POINT (-155.1155948 19.7177273),HI,11702949,KAISER PERMANENTE HILO CLINIC PHARMACY
POINT (-157.9542822 21.3899473),HI,11686106,TIMES SUPERMARKET
POINT (-155.9885604 19.6372022),HI,11700207,KAISER PERMANENTE KONA CLINIC PHARMACY
POINT (-157.977011 21.3964648),HI,11662181,SAM'S CLUB - 6410
POINT (-157.8009918 21.4140387),HI,11686192,TIMES SUPERMARKET
POINT (-158.0001534 21.426424),HI,11679224,COSTCO
POINT (-157.8444796 21.3013096),HI,11654083,SAFEWAY
POINT (-157.7094004 21.2837203),HI,11678664,COSTCO
POINT (-157.868313 21.3151748),HI,11656464,KMART
POINT (-155.0618427 19.6964256),HI,11655475,SAFEWAY
POINT (-158.0056196 21.384433),HI,11686066,TIMES SUPERMARKET
POINT (-158.0345533 21.3914208),HI,11662180,WAL-MART - 2314
POINT (-156.4546946 20.750843),HI,11652435,LONGS DRUGS - 9303
POINT (-157.9744739 21.3971473),HI,11641776,WAL-MART - 5274
POINT (-155.0885227 19.7239157),HI,11647038,PHARMACARE
POINT (-157.8268777 21.29426),HI,11652511,LONGS DRUGS - 9954
POINT (-157.8625325 21.3121195),HI,11688936,CHINATOWN PHARMACY
POINT (-157.8128546 21.2869809),HI,11693873,CORNER PHARMACY
POINT (-156.6808549 20.8845509),HI,11710490,WALGREENS - 11192
POINT (-158.0878438 21.3267392),HI,11709124,COSTCO
POINT (-156.500467 20.888518),HI,11702373,LONGS DRUGS - 4496
POINT (-155.6644514 20.0221382),HI,11705268,NORTH HAWAII COMMUNITY HOSPITAL PHARMACY
POINT (-157.7076898 21.2842379),HI,11652256,LONGS DRUGS - 9185
POINT (-157.8434712 21.2910768),HI,11652441,LONGS DRUGS - 9206
POINT (-157.8579081 21.3128166),HI,11652279,LONGS DRUGS - 9228
POINT (-157.9682385 21.3943101),HI,11652007,LONGS DRUGS - 9275
POINT (-158.0248523 21.4966641),HI,11652196,LONGS DRUGS - 9300
POINT (-157.7423218 21.3937651),HI,11652416,LONGS DRUGS - 9825
POINT (-157.7973868 21.4010407),HI,11652443,LONGS DRUGS - 9953
POINT (-158.0179022 21.3801111),HI,11709480,WALGREENS - 13645
POINT (-157.7862302 21.2770478),HI,11652190,CVS DOING BUSINESS AS LONGS DRUGS - 9220
POINT (-157.8463041 21.3009124),HI,11700089,KAISER PERMANENTE HONOLULU CLINIC
POINT (-157.8946058 21.3457344),HI,11648806,KAISER PERMANENTE MAPUNAPUNA CLINIC
POINT (-157.8676526 21.3364158),HI,11652006,CVS - 9653
POINT (-159.3650871 21.9856778),HI,11704226,WILCOX MEMORIAL HOSPITAL
POINT (-157.9417504 21.3855373),HI,11652192,CVS DOING BUSINESS AS LONGS DRUGS - 9813
POINT (-155.4720535 19.1996284),HI,11707513,LONGS DRUGS - 5638
POINT (-159.3225132 22.0611996),HI,11707821,FOODLAND
POINT (-158.0312983 21.4956751),HI,11706265,CVS DOING BUSINESS AS LONGS DRUGS - 7920
POINT (-157.9268327 21.3655976),HI,11702734,MINA HEALTH MART PHARMACY
POINT (-159.3211928 22.0630904),HI,11652291,LONGS DRUGS - 9952
POINT (-159.3217865 22.0622169),HI,11653808,SAFEWAY
POINT (-159.3709213 21.975175),HI,11645413,HO'OLA LAHUI HAWAI'I
