X,Y,FID,CalcLocati,CalcLoca_1,CalcLoca_2,Name,Address,City,State,Zip,formated_p,Status,Icon,Type_,ObjectId
-77.0964,43.0335,620,"43.03352800,-77.09643800",-77.096438,43.033528,DaVita Newark Wayne Dialysis,1120 SOUTH MAIN STREET,NEWARK,NY,14513,Please call patient admission line,open,small_green,Dialysis Center,20
-73.4979,44.7027,621,"44.70269300,-73.49795000",-73.49795,44.702693,H.K. FREEDMAN RENAL CENTER,91 PLAZA BOULEVARD,PLATTSBURGH,NY,12901,Please call patient admission line,open,small_green,Dialysis Center,21
-79.2325,42.0913,622,"42.09127400,-79.23254700",-79.232547,42.091274,DaVita Jamestown Dialysis Center,207 FOOTE AVENUE,JAMESTOWN,NY,14701,Please call patient admission line,open,small_green,Dialysis Center,22
-73.9876,40.736,623,"40.73595200,-73.98762200",-73.987622,40.735952,AVANTUS IRVING PLACE DIALYSIS CENTER,IRVING PLACE DIALYSIS,NEW YORK,NY,10003,Please call patient admission line,open,small_green,Dialysis Center,23
-73.9621,40.7622,624,"40.76223700,-73.96213500",-73.962135,40.762237,AVANTUS UPPER EASTSIDE DIALYSIS,315 E 62nd Street,NEW YORK,NY,10065,Please call patient admission line,open,small_green,Dialysis Center,24
-73.9549,40.8141,625,"40.81414100,-73.95489500",-73.954895,40.814141,AVANTUS HARLEM GREEN DIALYSIS,488 West 128th Street,NEW YORK,NY,10027,Please call patient admission line,open,small_green,Dialysis Center,25
-74.3575,41.4477,626,"41.44769200,-74.35754200",-74.357542,41.447692,DaVita Orange Dialysis Center,100 CRYSTAL RUN ROAD,MIDDLETOWN,NY,10941,Please call patient admission line,open,small_green,Dialysis Center,26
-73.8449,40.8469,627,"40.84691400,-73.84487600",-73.844876,40.846914,DaVita Waters Place Dialysis Center,1733 EASTCHESTER ROAD,BRONX,NY,10461,Please call patient admission line,open,small_green,Dialysis Center,27
-75.4991,43.7954,628,"43.79542000,-75.49911400",-75.499114,43.79542,DaVita Lowville Dialysis Center,7785 NORTH STATE STREET,LOWVILLE,NY,13367,Please call patient admission line,open,small_green,Dialysis Center,28
-73.596,44.216,629,"44.21599600,-73.59600700",-73.596007,44.215996,"ELIZABETHTOWN CENTER, LLC",75 PARK STREET,ELIZABETHTOWN,NY,12932,Please call patient admission line,open,small_green,Dialysis Center,29
-74.0806,40.5988,630,"40.59876000,-74.08062200",-74.080622,40.59876,DaVita Staten Island Dialysis Center,1139 HYLAN BLVD,STATEN ISLAND,NY,10305,Please call patient admission line,open,small_green,Dialysis Center,30
-73.8987,40.6763,631,"40.67630900,-73.89868400",-73.898684,40.676309,"BUSHWICK CENTER FOR RENAL DIALYSIS, LLC",51 GEORGIA AVENUE,BROOKLYN,NY,11207,Please call patient admission line,open,small_green,Dialysis Center,31
-78.7542,42.9596,632,"42.95958800,-78.75419800",-78.754198,42.959588,FMS-Freedom Center of Buffalo,52 South Union Road,Williamsville,NY,14221,Please call patient admission line,open,small_green,Dialysis Center,32
-73.9938,40.7689,633,"40.76892900,-73.99383100",-73.993831,40.768929,Rogosin West Side,619 West 54th Street,NEW YORK,NY,10019,Please call patient admission line,open,small_green,Dialysis Center,33
-74.2904,44.8576,634,"44.85755500,-74.29043200",-74.290432,44.857555,HASTINGS HEMODIALYSIS CENTER,20 FOURTH STREET,MALONE,NY,12953,Please call patient admission line,open,small_green,Dialysis Center,34
-73.9508,40.6561,635,"40.65612900,-73.95081000",-73.95081,40.656129,PROSPECT PARK DIALYSIS,672 PARKSIDE AVENUE,BROOKLYN,NY,11226,Please call patient admission line,open,small_green,Dialysis Center,35
-74.8907,44.923,636,"44.92298200,-74.89074100",-74.890741,44.922982,MASSENA DIALYSIS CENTER,290 MAIN STREET,MASSENA,NY,13662,Please call patient admission line,open,small_green,Dialysis Center,36
-73.8269,40.912,637,"40.91202400,-73.82688500",-73.826885,40.912024,WESTCHESTER CENTER FOR RENAL CARE,10 CLAREMONT AVE,MOUNT VERNON,NY,10550,Please call patient admission line,open,small_green,Dialysis Center,37
-73.8168,43.0859,638,"43.08589800,-73.81680200",-73.816802,43.085898,Fresenius Kidney Care - Saratoga Springs,373 CHURCH STREET,SARATOGA SPRINGS,NY,12866,Please call patient admission line,open,small_green,Dialysis Center,38
-78.9901,43.1122,639,"43.11215000,-78.99013100",-78.990131,43.11215,DaVita Niagara Dialysis Center,2932 MILITARY ROAD,NIAGARA FALLS,NY,14304,Please call patient admission line,open,small_green,Dialysis Center,39
-77.5812,43.1041,640,"43.10405800,-77.58118700",-77.581187,43.104058,Freedom Center of Rochester,100 Meridian Centre,ROCHESTER,NY,14618,Please call patient admission line,open,small_green,Dialysis Center,40
-73.0646,40.8601,641,"40.86005300,-73.06461100",-73.064611,40.860053,CORAM DIALYSIS CENTER,1500 MIDDLE COUNTRY ROAD,CENTEREACH,NY,11720,Please call patient admission line,open,small_green,Dialysis Center,41
-77.7006,43.1892,642,"43.18916300,-77.70058800",-77.700588,43.189163,FMS - GREECE DIALYSIS CENTER,1570 LONG POND ROAD,GREECE,NY,14626,Please call patient admission line,open,small_green,Dialysis Center,42
-73.8948,40.9396,643,"40.93958100,-73.89477800",-73.894778,40.939581,REGENCY DIALYSIS CENTER,65 ASHBURTON AVENUE,YONKERS,NY,10701,Please call patient admission line,open,small_green,Dialysis Center,43
-73.9388,40.804,644,"40.80397000,-73.93881000",-73.93881,40.80397,PARK AVENUE DIALYSIS CENTER LLC,116 EAST 124TH STREET,NEW YORK,NY,10035,Please call patient admission line,open,small_green,Dialysis Center,44
-73.8665,40.8782,645,"40.87817500,-73.86650400",-73.866504,40.878175,DaVita Williamsbridge Dialysis Center,"3525 WHITE PLAINS ROAD, SUITE B",BRONX,NY,10467,Please call patient admission line,open,small_green,Dialysis Center,45
-73.8665,40.8782,646,"40.87817500,-73.86650400",-73.866504,40.878175,DaVita Williamsbridge Home Dialysis Center (PD),3525 WHITE PLAINS ROAD,BRONX,NY,10467,Please call patient admission line,open,small_green,Dialysis Center,46
-77.4949,43.1171,647,"43.11710100,-77.49488900",-77.494889,43.117101,DaVita East Rochester Dialysis,445 WEST COMMERCIAL STREET,EAST ROCHESTER,NY,14445,Please call patient admission line,open,small_green,Dialysis Center,47
-73.3466,40.6911,648,"40.69108700,-73.34655800",-73.346558,40.691087,"MILLS POND DIALYSIS CENTER, LLC",134 GREAT EAST NECK ROAD,WEST BABYLON,NY,11704,Please call patient admission line,open,small_green,Dialysis Center,48
-77.0614,42.1509,649,"42.15093200,-77.06140500",-77.061405,42.150932,DaVita Corning Dialysis,8 WEST PULTNEY STREET,CORNING,NY,14830,Please call patient admission line,open,small_green,Dialysis Center,49
-76.86,42.3524,650,"42.35238900,-76.86001300",-76.860013,42.352389,DaVita Schuyler Dialysis,220 STEUBEN STREET,MONTOUR FALLS,NY,14865,Please call patient admission line,open,small_green,Dialysis Center,50
-73.8628,40.7083,651,"40.70832500,-73.86275200",-73.862752,40.708325,Genesis Services,74-07 88th Street,GLENDALE,NY,11385,Please call patient admission line,open,small_green,Dialysis Center,51
-76.8254,42.1015,652,"42.10153800,-76.82539600",-76.825396,42.101538,DaVita Ivy Dialysis,602 IVY STREET,ELMIRA,NY,14905,Please call patient admission line,open,small_green,Dialysis Center,52
-73.8525,42.7002,653,"42.70020300,-73.85251600",-73.852516,42.700203,Freedom Center of Westmere,178 Washington Ave Extension,ALBANY,NY,12203,Please call patient admission line,open,small_green,Dialysis Center,53
-74.3398,41.3952,654,"41.39516600,-74.33982400",-74.339824,41.395166,PREMIER DIALYSIS CENTER,30 Hatfield Lane,GOSHEN,NY,10924,Please call patient admission line,open,small_green,Dialysis Center,54
-73.5047,40.7499,655,"40.74990700,-73.50474000",-73.50474,40.749907,New York Dialysis Services Inc.,760 South Broadway,HICKSVILLE,NY,11801,Please call patient admission line,open,small_green,Dialysis Center,55
-73.9725,40.6412,656,"40.64120400,-73.97249900",-73.972499,40.641204,Palm Garden Dialysis Center,615 Avenue C,BROOKLYN,NY,11218,Please call patient admission line,open,small_green,Dialysis Center,56
-73.9128,42.7863,657,"42.78631200,-73.91281900",-73.912819,42.786312,Schenectady Partners LLC,1594 State Street,SCHENECTADY,NY,12304,Please call patient admission line,open,small_green,Dialysis Center,57
-73.7116,42.6008,658,"42.60083700,-73.71160300",-73.711603,42.600837,DCI-East Greenbush,583 Columbia Turnpike,EAST GREENBUSH,NY,12061,Please call patient admission line,open,small_green,Dialysis Center,58
-73.7825,40.5954,659,"40.59535400,-73.78253700",-73.782537,40.595354,Peninsula Continuum Services LLC,50-15 Beach Channel Drive,FAR ROCKAWAY,NY,11691,Please call patient admission line,open,small_green,Dialysis Center,59
-73.7917,40.7258,660,"40.72577500,-73.79174400",-73.791744,40.725775,Vestal Healthcare LLC,176-35 Union Turnpike,FRESH MEADOWS,NY,11366,Please call patient admission line,open,small_green,Dialysis Center,60
-74.3326,43.0725,661,"43.07254500,-74.33255600",-74.332556,43.072545,Gloversville Dialysis Center,46 Easterly Street,GLOVERSVILLE,NY,12078,Please call patient admission line,open,small_green,Dialysis Center,61
-73.9838,40.6794,662,"40.67942500,-73.98380000",-73.9838,40.679425,New York Dialysis Services Inc.,595 Degraw Street,BROOKLYN,NY,11217,Please call patient admission line,open,small_green,Dialysis Center,62
-73.8427,40.8488,663,"40.84875500,-73.84270800",-73.842708,40.848755,"Vestal Healthcare, LLC",1776 Eastchester Road,BRONX,NY,10461,Please call patient admission line,open,small_green,Dialysis Center,63
-78.7839,42.9211,664,"42.92114000,-78.78385400",-78.783854,42.92114,US Renal Care West Cheektowaga,2861 Harlem Road,BUFFALO,NY,14225,Please call patient admission line,open,small_green,Dialysis Center,64
-73.413,40.8306,665,"40.83061800,-73.41297000",-73.41297,40.830618,"New York Dialysis Services, Inc.",33 Walt Whitman Road,HUNTINGTON STATION,NY,11746,Please call patient admission line,open,small_green,Dialysis Center,65
-73.9529,40.6794,666,"40.67941000,-73.95287900",-73.952879,40.67941,DaVita Clinton Hill Dialysis,1275 Bedford Avenue,BROOKLYN,NY,11216,Please call patient admission line,open,small_green,Dialysis Center,66
-73.6883,40.7228,667,"40.72284900,-73.68826100",-73.688261,40.722849,DaVita Floral Park Home Dialysis (PD),1 Cisney Ave,FLORAL PARK,NY,11001,Please call patient admission line,open,small_green,Dialysis Center,67
-73.9086,41.7387,668,"41.73865400,-73.90858600",-73.908586,41.738654,HPLD Partners LLC,386 Violet Avenue,POUGHKEEPSIE,NY,12601,Please call patient admission line,open,small_green,Dialysis Center,68
-73.1931,40.7407,669,"40.74067700,-73.19313800",-73.193138,40.740677,DaVita East Islip Dialysis,200 Carleton Avenue,EAST ISLIP,NY,11730,Please call patient admission line,open,small_green,Dialysis Center,69
-73.5841,40.6577,670,"40.65773800,-73.58406400",-73.584064,40.657738,"Main Street Dialysis Center, LLC",3 North Main Street,FREEPORT,NY,11520,Please call patient admission line,open,small_green,Dialysis Center,70
-73.7064,40.7822,671,"40.78222800,-73.70644300",-73.706443,40.782228,DaVita Julia and Israel Waldbaum Dialysis,100 COMMUNITY DRIVE,GREAT NECK,NY,11021,Please call patient admission line,open,small_green,Dialysis Center,71
-73.9845,40.6322,672,"40.63217000,-73.98452500",-73.984525,40.63217,"Dialyze Direct NY, LLC",4714 16th Avenue,BROOKLYN,NY,11204,Please call patient admission line,open,small_green,Dialysis Center,72
-78.8814,42.9476,673,"42.94760600,-78.88141100",-78.881411,42.947606,DaVita Hertel Avenue Dialysis,699 Hertel Ave,BUFFALO,NY,14207,Please call patient admission line,open,small_green,Dialysis Center,73
-74.0289,41.521,674,"41.52103100,-74.02885400",-74.028854,41.521031,DSI Newburgh LLC.,39 North Plank Rd,NEWBURGH,NY,12550,Please call patient admission line,open,small_green,Dialysis Center,74
-77.5892,43.1959,675,"43.19593700,-77.58924500",-77.589245,43.195937,DaVita Seaway Dialysis,999 E. Ridge Road,ROCHESTER,NY,14621,Please call patient admission line,open,small_green,Dialysis Center,75
-72.4006,40.8966,676,"40.89655700,-72.40064100",-72.400641,40.896557,Woodmere Dialysis LLC,64 County Road 39,SOUTHAMPTON,NY,11968,Please call patient admission line,open,small_green,Dialysis Center,76
-73.9153,40.8152,677,"40.81524100,-73.91531200",-73.915312,40.815241,DaVita Melrose Dialysis,459 East 149th Street,BRONX,NY,10455,Please call patient admission line,open,small_green,Dialysis Center,77
-75.6431,43.0758,678,"43.07583800,-75.64312000",-75.64312,43.075838,Utica Partners LLC,2142 Glenwood Shopping Plaza,ONEIDA,NY,13421,Please call patient admission line,open,small_green,Dialysis Center,78
-73.9902,40.5722,679,"40.57215200,-73.99021800",-73.990218,40.572152,Sea Crest Acquisition LLC,3035 West 24th Street,BROOKLYN,NY,11224,Please call patient admission line,open,small_green,Dialysis Center,79
-74.0137,40.634,680,"40.63404000,-74.01369000",-74.01369,40.63404,DaVita Brooklyn Community Dialysis,730 64th Street,BROOKLYN,NY,11220,Please call patient admission line,open,small_green,Dialysis Center,80
-73.3817,40.6826,681,"40.68261500,-73.38166400",-73.381664,40.682615,"NEW YORK DIALYSIS SERVICES, INC.",185 S 10TH STREET,LINDENHURST,NY,11757,Please call patient admission line,open,small_green,Dialysis Center,81
-73.7902,40.7119,682,"40.71189200,-73.79019400",-73.790194,40.711892,DaVita Jamaica Hillside Dialysis,171-19 Hillside Ave,JAMAICA,NY,11432,Please call patient admission line,open,small_green,Dialysis Center,82
-79.3223,42.4584,683,"42.45844200,-79.32225400",-79.322254,42.458442,DaVita Dunkirk Dialysis,3958 VINEYARD DR,DUNKIRK,NY,14048,Please call patient admission line,open,small_green,Dialysis Center,83
-78.87,42.8926,684,"42.89261000,-78.87000100",-78.870001,42.89261,DaVita Buffalo Downtown Dialysis,520 ELLICOTT ST,BUFFALO,NY,14203,Please call patient admission line,open,small_green,Dialysis Center,84
-73.8699,40.7092,685,"40.70917900,-73.86990400",-73.869904,40.709179,DaVita Atlas Park Dialysis,8000 COOPER AVE,GLENDALE,NY,11385,Please call patient admission line,open,small_green,Dialysis Center,85
-73.8389,40.6797,686,"40.67971400,-73.83886500",-73.838865,40.679714,DaVita Ozone Park Dialysis,"100-02, Rockaway Blvd",Ozone Park,NY,11417,Please call patient admission line,open,small_green,Dialysis Center,86
-78.8272,42.9815,687,"42.98148900,-78.82717400",-78.827174,42.981489,US Renal Care Amherst Dialysis,"2880, Sheridan Dr",TONAWANDA,NY,14150,Please call patient admission line,open,small_green,Dialysis Center,87
-73.4864,40.8093,688,"40.80928600,-73.48643100",-73.486431,40.809286,DaVita Crossways Park Dialysis,113 Crossways Park Dr,Woodbury,NY,11797,Please call patient admission line,open,small_green,Dialysis Center,88
-73.8595,40.9155,689,"40.91553400,-73.85948100",-73.859481,40.915534,DaVita Westchester Home Training (PD),"955 Yonkers Ave, Suite 201",YONKERS,NY,10704,Please call patient admission line,open,small_green,Dialysis Center,89
-73.6303,40.8811,690,"40.88113300,-73.63034900",-73.630349,40.881133,"Glengariff Dialysis Center, LLC",141 Dosoris Lane,GLEN COVE,NY,11542,Please call patient admission line,open,small_green,Dialysis Center,90
-75.6516,43.0949,691,"43.09494200,-75.65157500",-75.651575,43.094942,Faxton-St. Luke's Healthcare,131 Main Street,ONEIDA,NY,13421,Please call patient admission line,open,small_green,Dialysis Center,91
-73.6885,42.695,692,"42.69502900,-73.68845100",-73.688451,42.695029,New York Dialysis Services Inc,16 North Greenbush Road,Troy,NY,12180,Please call patient admission line,open,small_green,Dialysis Center,92
-73.759,42.7723,693,"42.77231700,-73.75903500",-73.759035,42.772317,"New York Dialysis Services, Inc.",30 Century Hill Dr,Latham,NY,12110,Please call patient admission line,open,small_green,Dialysis Center,93
-73.6478,43.3088,694,"43.30884100,-73.64775200",-73.647752,43.308841,DCI GLENS FALLS,3 BROAD ST,GLENS FALLS,NY,12801,Please call patient admission line,open,small_green,Dialysis Center,94
-73.8627,40.6711,695,"40.67113000,-73.86271800",-73.862718,40.67113,Brooklyn United Methodist Continuum Services,1485 Dumont Ave,Brooklyn,NY,11208,Please call patient admission line,open,small_green,Dialysis Center,95
-73.9001,40.8487,696,"40.84874100,-73.90014200",-73.900142,40.848741,DaVita Mount Hope Dialysis Center,1940 Webster Avenue,Bronx,NY,10457,Please call patient admission line,open,small_green,Dialysis Center,96
-73.8434,40.8606,697,"40.86056800,-73.84342000",-73.84342,40.860568,DaVita Hutchinson River Dialysis,2331 Eastchester Road,Bronx,NY,10469,Please call patient admission line,open,small_green,Dialysis Center,97
-73.849,40.876,698,"40.87602300,-73.84902900",-73.849029,40.876023,DaVita Laconia Dialysis,3440 Boston Road,Bronx,NY,10469,Please call patient admission line,open,small_green,Dialysis Center,98
-73.9441,40.7079,699,"40.70790500,-73.94405700",-73.944057,40.707905,DaVita GreenPoint Dialysis,146 Meserole Street,Brooklyn,NY,11206,Please call patient admission line,open,small_green,Dialysis Center,99
-78.6971,43.1543,700,"43.15431600,-78.69709800",-78.697098,43.154316,DaVita Lock City Dialysis,475 South Transit Street,Lockport,NY,14094,Please call patient admission line,open,small_green,Dialysis Center,100
-93.9844,39.3419,201,"39.34190600,-93.98438700",-93.984387,39.341906,FMC -Letholt Dialysis Center,910 Stonner Loop,RICHMOND,MO,64085,Please call patient admission line,open,small_green,Dialysis Center,101
-90.3778,38.5047,202,"38.50468800,-90.37776500",-90.377765,38.504688,RTC-Lamplighter Dialysis,12654 Lamplighter Square,SAINT LOUIS,MO,63128,Please call patient admission line,open,small_green,Dialysis Center,102
-90.7042,38.7195,203,"38.71946400,-90.70424200",-90.704242,38.719464,Fresenius Medical Services O Fallon,4663 Highway K,OFALLON,MO,63368,Please call patient admission line,open,small_green,Dialysis Center,103
-91.4004,39.7294,204,"39.72942100,-91.40042100",-91.400421,39.729421,Hannibal Dialysis,119 Progress Rd,HANNIBAL,MO,63401,Please call patient admission line,open,small_green,Dialysis Center,104
-90.3822,38.4134,205,"38.41341900,-90.38223500",-90.382235,38.413419,Arnold Dialysis,102 Richardson Xing,ARNOLD,MO,63010,Please call patient admission line,open,small_green,Dialysis Center,105
-94.3943,36.8775,206,"36.87749600,-94.39434200",-94.394342,36.877496,HEARTLAND KIDNEY AND DIALYSIS CENTER,833 N BUSINESS 71,NEOSHO,MO,64850,Please call patient admission line,open,small_green,Dialysis Center,106
-90.4412,36.768,207,"36.76798100,-90.44115300",-90.441153,36.767981,FMC - Poplar Bluff West,3050 Tucker Rd,POPLAR BLUFF,MO,63901,Please call patient admission line,open,small_green,Dialysis Center,107
-96.6931,40.3134,208,"40.31336400,-96.69308200",-96.693082,40.313364,DaVita Beatrice Dialysis,5200 Hospital Parkway,BEATRICE,NE,68310,Please call patient admission line,open,small_green,Dialysis Center,108
-90.6335,34.5181,209,"34.51810100,-90.63349800",-90.633498,34.518101,FMCNA - HELENA,108 D ANNA PL,HELENA,AR,72342,Please call patient admission line,open,small_green,Dialysis Center,109
-94.186,36.1676,210,"36.16757000,-94.18598400",-94.185984,36.16757,DAVITA - SPRINGDALE,2070 McKenzie Road,SPRINGDALE,AR,72762,Please call patient admission line,open,small_green,Dialysis Center,110
-89.8736,30.7496,211,"30.74961800,-89.87356800",-89.873568,30.749618,DAVITA - BOGALUSA KIDNEY CARE,2108 S AVE F,BOGALUSA,LA,70427,Please call patient admission line,open,small_green,Dialysis Center,111
-91.0031,30.0872,212,"30.08724400,-91.00308600",-91.003086,30.087244,FMCNA - DONALDSONVILLE DIALYSIS,101 PLIMSOL DR,DONALDSONVILLE,LA,70346,Please call patient admission line,open,small_green,Dialysis Center,112
-90.2646,38.72,213,"38.71996500,-90.26455700",-90.264557,38.719965,North County Dialysis Center,272 MAYFAIR DRIVE,FLORISSANT,MO,63033,Please call patient admission line,open,small_green,Dialysis Center,113
-93.1956,30.2037,214,"30.20370900,-93.19557200",-93.195572,30.203709,FKC - EAST LAKE CHARLES,1801 Oak Park Blvd,LAKE CHARLES,LA,70615,Please call patient admission line,open,small_green,Dialysis Center,114
-90.7263,29.9967,215,"29.99666800,-90.72628600",-90.726286,29.996668,VACHERIE DX,2504 HIWAY 20 STE B,VACHERIE,LA,70090,Please call patient admission line,open,small_green,Dialysis Center,115
-92.0684,30.4113,216,"30.41131000,-92.06845000",-92.06845,30.41131,FMCNA - SUNSET,115 ACORN ST,SUNSET,LA,70584,Please call patient admission line,open,small_green,Dialysis Center,116
-90.2815,29.9818,217,"29.98183800,-90.28149500",-90.281495,29.981838,FMCNA - OCHSNER-ST CHARLES,150 JAMES DR EAST  STE 110,SAINT ROSE,LA,70087,Please call patient admission line,open,small_green,Dialysis Center,117
-90.8187,29.812,218,"29.81199600,-90.81872800",-90.818728,29.811996,FKC - NORTH THIBODAUX,108 WESTOVER DRIVE,THIBODAUX,LA,70301,Please call patient admission line,open,small_green,Dialysis Center,118
-97.0824,36.1155,219,"36.11545200,-97.08241400",-97.082414,36.115452,FMCNA - STILLWATER MEDICAL CTR DIALYSIS,"1921 W SIXTH ST, BLDG B",STILLWATER,OK,74074,Please call patient admission line,open,small_green,Dialysis Center,119
-98.2276,35.071,220,"35.07098900,-98.22759700",-98.227597,35.070989,DAVITA - ANADARKO,414 SE 11TH,ANADARKO,OK,73005,Please call patient admission line,open,small_green,Dialysis Center,120
-95.5885,35.318,221,"35.31801900,-95.58852300",-95.588523,35.318019,DVA - MCINTOSH COUNTY DIALYSIS,480 EUNICE BURNS RD,EUFAULA,OK,74432,Please call patient admission line,open,small_green,Dialysis Center,121
-94.7529,36.5843,222,"36.58433900,-94.75289100",-94.752891,36.584339,US RENAL CARE - GROVE,1200 NEO LOOP,GROVE,OK,74344,Please call patient admission line,open,small_green,Dialysis Center,122
-95.3991,35.9578,223,"35.95777100,-95.39910700",-95.399107,35.957771,DaVita Wagoner Dialysis,402 S WALL STREET,WAGONER,OK,74467,Please call patient admission line,open,small_green,Dialysis Center,123
-99.5923,27.6357,224,"27.63573000,-99.59228400",-99.592284,27.63573,Laredo North Creek,123 Nowhere,LAREDO,TX,78045,Please call patient admission line,open,small_green,Dialysis Center,124
-100.2279,34.4394,225,"34.43939800,-100.22792400",-100.227924,34.439398,CHILDRESS REGIONAL MEDICAL CENTER DIALYSIS,910 REAR  OAK LANE,CHILDRESS,TX,79201,Please call patient admission line,open,small_green,Dialysis Center,125
-97.49,25.9264,226,"25.92637200,-97.48999200",-97.489992,25.926372,Fresenius Kidney Care Valley Hemodialysis Center,350 N EXPRESSWAY,BROWNSVILLE,TX,78521,Please call patient admission line,open,small_green,Dialysis Center,126
-99.1484,30.0413,227,"30.04131700,-99.14842100",-99.148421,30.041317,KERRVILLE DIALYSIS,515-A GRANADA,KERRVILLE,TX,78028,Please call patient admission line,open,small_green,Dialysis Center,127
-106.339,31.7501,228,"31.75008800,-106.33896600",-106.338966,31.750088,FRESENIUS MEDICAL CARE EL PASO GATEWAY,10767 GATEWAY WEST,EL PASO,TX,79935,Please call patient admission line,open,small_green,Dialysis Center,128
-95.0899,30.337,229,"30.33702200,-95.08988300",-95.089883,30.337022,CLEVELAND DIALYSIS CENTER,"202 East Ft. Worth, St.",CLEVELAND,TX,77327,Please call patient admission line,open,small_green,Dialysis Center,129
